,sentence
171,"['please', 'contact', 'u', 'question', 'concern', 'wish', 'exercise', 'right', 'gdprcornelledu']"
172,"['contact', 'information']"
173,"['question', 'concern', 'regarding', 'privacy', 'notice', 'applies', 'website']"
174,"['cornell', 'tech']"
175,"['office', 'external', 'relation']"
176,"['2', 'west', 'loop', 'rd', '3rd', 'floor']"
177,"['new', 'york', 'ny', '10044']"
178,['externalrelationstechcornelledu']
179,"['question', 'privacy', 'notice', 'privacy', 'practice', 'describes', 'please', 'contact', 'privacycornelledu']"
180,[]
181,[]
182,['news']
183,"['career', 'management']"
184,['job']
185,['discover']
186,['contact']
187,['café']
188,['give']
189,"['built', 'cornell', 'tech']"
190,['resource']
191,"['term', 'condition']"
192,"['privacy', 'policy']"
193,['accessibility']
194,"['safety', 'security']"
195,"['connect', 'u']"
196,"['email', 'address']"
197,['subscribe']
198,"['iframe', 'contains', 'logic', 'required', 'handle', 'ajax', 'powered', 'gravity', 'form']"
199,"['follow', 'facebook']"
200,"['follow', 'twitter']"
201,"['follow', 'youtubeplay']"
202,"['follow', 'linkedin']"
203,"['follow', 'instagram']"
204,"['2', 'west', 'loop', 'road', 'new', 'york', 'ny', '10044']"
205,"['2019', 'cornell', 'tech', 'right', 'reserved']"
